Index,Offset,Original,Cleaned,Translation
47,7578916,\pNo,No,
48,7582040,\p\rGroup contains 2 players + 2 CPU.\n,Group contains 2 players + 2 CPU.,
49,7582408,\p\rGroup contains 2 players + 1 CPU.\n,Group contains 2 players + 1 CPU.,
50,7582568,\p\rPlease select the group\nyou would like to join.\k,Please select the group you would like to join.,
51,7582696,\p\rGroup contains 2 players + 1 guest.\n,Group contains 2 players + 1 guest.,
52,7582744,\p\h%4x%2y%d/%d,[NUM]/[NUM],
53,7582760,\p%4x\h%s,[TEXT],
54,7582776,\p%3x%0yRefresh,Refresh,
55,7582808,\p\rNo groups with available\nmember slots were found!\k,No groups with available member slots were found!,
56,7582872,\p\rSearching for groups...,Searching for groups...,
57,7582900,\pYes,Yes,
58,7582912,\p\rAll member slots have been filled!\nBegin play with these members?,All member slots have been filled! Begin play with these members?,
59,7582984,\p\rPermit free advantage settings?,Permit free advantage settings?,
60,7583024,"\p\rNot all member slots are filled,\nbut the minimum has been met.\nBegin play with the current lineup?","Not all member slots are filled, but the minimum has been met. Begin play with the current lineup?",
61,7583136,\p\rNot all member slots are filled!\nPlease wait for all members to gather!\k,Not all member slots are filled! Please wait for all members to gather!,
62,7583216,\p\rDisband the group?,Disband the group?,
63,7583240,\p\rCannot join this group.\nThe group is full!\k,Cannot join this group. The group is full!,
64,7583296,"\p\rIf you wish to join this group,\nplease confirm with the %527M!","If you wish to join this group, please confirm with the [BTN]!",
65,7583364,\pCave,Cave,
66,7583376,\p\rCannot join this group.\k,Cannot join this group.,
67,7583456,\p\rIncorrect password.\k,Incorrect password.,
68,7583488,\p\rThe password is incorrect!\nTry again?,The password is incorrect! Try again?,
69,7583536,\p\rThis group is password-gated.\k,This group is password-gated.,
70,7583608,\p\rJoining group...,Joining group...,
71,7583632,\pAdvantage available!,Advantage available!,
72,7583656,\pAdvantage unavailable.,Advantage unavailable.,
73,7583688,\pPlay through Week %d.\n,Play through Week [NUM].,
74,7583720,\pRegular story mode.\n,Regular story mode.,
75,7583744,\p\rGroup contains 4 players.\n,Group contains 4 players.,
76,7583776,\p\rGroup contains 3 players + 1 guest.\n,Group contains 3 players + 1 guest.,
77,7583824,\p\rGroup contains 3 players + 1 CPU.\n,Group contains 3 players + 1 CPU.,
78,7583864,\p\rGroup contains 3 players.\n,Group contains 3 players.,
79,7583896,\p\rGroup contains 2 players + 2 guests.\n,Group contains 2 players + 2 guests.,
80,7583944,\pCommunication error!\nReturning to title.,Communication error! Returning to title.,
81,7583992,\p\rNo viable groups found!\k,No viable groups found!,
82,7584024,\p\rThe group has been disbanded!\k,The group has been disbanded!,
83,7584064,\p\rLeave this group?,Leave this group?,
84,7584088,\p\rJoin this group?,Join this group?,
85,7584112,\p\n%2xJoining\n,Joining,
86,7584136,\p\n%2xReady!\n,Ready!,
87,7584152,\p\n%2xSetting up...\n,Setting up...,
88,7584176,\p\n%2xNow recruiting...,Now recruiting...,
89,7584208,\p%2x%0ySecret,Secret,
90,7584224,\p%2xJoin,Join,
91,7584240,\p%2x%0yDisband,Disband,
92,7584256,\p\rWaiting to begin...,Waiting to begin...,
93,7584280,\p\rAvailable group(s) found!,Available group(s) found!,
94,7584312,\p%5x%6y\h%d／%d,[NUM]／[NUM],
95,7584336,\p\rCannot join this group.\nRecruitment period for this\ngroup has ended.\k,Cannot join this group. Recruitment period for this group has ended.,
96,7584416,"\p\rIf you wish to join this group,\nplease confirm with the %528M!","If you wish to join this group, please confirm with the [BTN]!",
97,7584488,\p%4x%4y\h%s,[TEXT],
98,7584504,\pTotal:,Total:,
99,7584520,\pMost bank heists:,Most bank heists:,
100,7584544,\pTotal:,Total:,
101,7584560,\pMost shop raids:,Most shop raids:,
102,7584584,\pTotal:,Total:,
103,7584600,\pMost village raids:,Most village raids:,
104,7584624,\pTotal:,Total:,
105,7584640,\pMost raids in one game:,Most raids in one game:,
106,7584672,\pLicenses,Licenses,
107,7584688,\p\rPreparing to start the game...,Preparing to start the game...,
108,7584728,\p\rInvalid save file copied\nfrom another device!\k,Invalid save file copied from another device!,
109,7584784,\p\rFailed to load resume state\ndata for group!\k,Failed to load resume state data for group!,
110,7584840,\p\rLoading resume state data\nfor group...,Loading resume state data for group...,
111,7584888,\pA player has left the game!\nReturning to title.,A player has left the game! Returning to title.,
112,7584944,\p\h%15cRank %1d%7x%8s%14xLv.%2d,Rank [NUM][TEXT]Lv.[NUM],
113,7584984,\p\h%15c%8xWeek %3d,Week [NUM],
114,7585008,\p%11x%0y\C%S,\C%S,
115,7585024,\p%0x%0y\h%s,[TEXT],
116,7585040,\p%33x%0y\hKOR,KOR,
117,7585056,\p%33x%0y\hCHT,CHT,
118,7585072,\p%33x%0y\hCHS,CHS,
119,7585088,\p%34x%0y\hENG,ENG,
120,7585104,\p%34x%0y\hJPN,JPN,
121,7585120,\p\rUnable to load because the data language\ndiffers from the current language.\k,Unable to load because the data language differs from the current language.,
122,7585208,\p\r\hCould not join\ndue to different language.\k,Could not join due to different language.,
123,7585264,\p%6x%0y\hKOR,KOR,
124,7585280,\p%6x%0y\hCHT,CHT,
125,7585296,\p%6x%0y\hCHS,CHS,
126,7585312,\p%6x%0y\hENG,ENG,
127,7585328,\p%6x%0y\hJPN,JPN,
128,7585344,\p\r\hNew setting added.\nMore aggressive than the original.,New setting added. More aggressive than the original.,
129,7585408,\p\r\hSame behavior as the original.,Same behavior as the original.,
130,7585448,\p\r\hSet CPU type.\nCan be changed during play.\k,Set CPU type. Can be changed during play.,
131,7585504,\pSystem data created by a different\nuser has been detected.\nThe group will now be disbanded.,System data created by a different user has been detected. The group will now be disbanded.,
132,7585600,\p\rLimit for Darkling duration via “Contract.”\nNot affected by terrain events.,Limit for Darkling duration via “Contract.” Not affected by terrain events.,
134,7585692,\p%dDay,[NUM]Day,
136,7585708,\pNo Limit,No Limit,
137,7585776,\pTransform Duration Limit,Transform Duration Limit,
138,7585808,"\p\rWhen the game starts, the settings for Text Speed,\nMovement Speed, and Speed Multiplier of the group\ncreator will be applied and synchronized.\k","When the game starts, the settings for Text Speed, Movement Speed, and Speed Multiplier of the group creator will be applied and synchronized.",
139,7585960,"\p%3c%s%0c!\nA moment of your time, if I may.\k","[TEXT]! A moment of your time, if I may.",
140,7586008,\pReceived %3c%s%0c!\k,Received [TEXT]!,
141,7586032,\p\rFailed to load settings.\nThe game will proceed with the default settings.,Failed to load settings. The game will proceed with the default settings.,
142,7586112,\p\rFailed to save settings.\nChanges made will not be saved.,Failed to save settings. Changes made will not be saved.,
143,7586176,\p\rFailed to save settings.\nChanges made will not be saved.,Failed to save settings. Changes made will not be saved.,
144,7586240,\p\r\h%2c%s%0c's version %2c%s%0c is not up to date.\nCould not enter the room.\k,[TEXT]'s version [TEXT] is not up to date. Could not enter the room.,
145,7586328,\p\h%0x%0y%s,[TEXT],
146,7586344,"\pWhy, if it isn't %3c%s%0c!\nWelcome, welcome!","Why, if it isn't [TEXT]! Welcome, welcome!",
147,7586392,"\p%12x%0y\h\,%DG",",%DG",
148,7586416,\p\r\hYour version %2c%s%0c is not up to date.\nPlease exit the game and update.\k,Your version [TEXT] is not up to date. Please exit the game and update.,
149,7586504,\p%4x%0y\C%S,\C%S,
150,7586520,"\p%0x%0yOwner:%13x\h%s\nTotal Revenue:%20x\,%9DG\n\nTreasure:","Owner:[TEXT] Total Revenue:,%9DG Treasure:",
151,7586584,"\pMmpph!\nI lotht...\nPleath, take thith and thpare me!","Mmpph! I lotht... Pleath, take thith and thpare me!",
152,7586640,\pThank you! Thank you kindly!\nWe'll be sure to put it to good use!\k,Thank you! Thank you kindly! We'll be sure to put it to good use!,
153,7586712,\pDon't expect any mercy when you lose!,Don't expect any mercy when you lose!,
154,7586752,"\pWe're collecting donations to fund our\ndevelopment, you see. Could you\nperhaps spare, say, %3c\,%dG%0c?","We're collecting donations to fund our development, you see. Could you perhaps spare, say, ,[NUM]G?",
155,7586864,"\pOh, yes! We uncovered a treasure\nhere in the village recently!\k","Oh, yes! We uncovered a treasure here in the village recently!",
156,7586936,"\pReceived %2c\,%dG%0c!\k","Received ,[NUM]G!",
157,7586968,\p%3c%s%0c!\nWhat can we do for you today?,[TEXT]! What can we do for you today?,
158,7587016,\pA draw?!\nO-One more round!,A draw?! O-One more round!,
159,7587048,\pHmph... I don't fancy this.\k,Hmph... I don't fancy this.,
160,7587080,\pThe %3cGag Gift%0c is all used up!\k,The Gag Gift is all used up!,
161,7587120,"\pI'm terribly sorry,\nbut we have no revenue right now...\k","I'm terribly sorry, but we have no revenue right now...",
162,7587568,"\pOho, you have a delivery for us?\nThanking you kindly!\k","Oho, you have a delivery for us? Thanking you kindly!",
163,7587656,\pThe %3cHoneytrap%0c is all used up!\k,The Honeytrap is all used up!,
164,7587696,"\pHere's all our recent revenue.\nPlease take it, with our regards!\k","Here's all our recent revenue. Please take it, with our regards!",
165,7587768,\p\h%13x%s,[TEXT],
166,7587784,\pYou...you absolute fiend!,You...you absolute fiend!,
167,7587812,\pCity,City,
168,7587824,"\p%0x%0y\hDaily Revenue:%20x\,%7DG\nTotal Revenue:%20x\,%9DG\n\n%10x\,%9DG to next upgrade","Daily Revenue:,%7DG Total Revenue:,%9DG ,%9DG to next upgrade",
169,7587920,"\pLet's keep it to rock-paper-scissors.\nAt least then I have a shot, right?\k","Let's keep it to rock-paper-scissors. At least then I have a shot, right?",
170,7588000,"\pMark my words, there will be\nconsequences if you lose!\k","Mark my words, there will be consequences if you lose!",
171,7588088,"\pPlease, stop by again anytime.\k","Please, stop by again anytime.",
172,7588128,\pHmm?\nThis gift smells a bit strange...\n...!\k,Hmm? This gift smells a bit strange... ...!,
173,7588224,"\pWhat's this? All of a sudden,\nI feel rather strange...\k","What's this? All of a sudden, I feel rather strange...",
174,7588336,\pYour town has become a city!\k,Your town has become a city!,
175,7588376,\pYour village has become a town!\k,Your village has become a town!,
176,7588416,"\pHmm... Well, see, I had a fiduciary\nmatter to discuss, but I suppose that\ncan wait for another occasion...\k","Hmm... Well, see, I had a fiduciary matter to discuss, but I suppose that can wait for another occasion...",
177,7588536,\p\h%18x%0y[Top Five Bank Heists],[Top Five Bank Heists],
178,7588576,"\pI see... It's just, since it would\nmean more revenue for you,\nI thought you might be interested...\k","I see... It's just, since it would mean more revenue for you, I thought you might be interested...",
179,7588688,\p\h%18x%0y[Top Five Shop Raids],[Top Five Shop Raids],
180,7588728,\p\h%18x%0y[Top Five Village Raids],[Top Five Village Raids],
181,7588768,\p\h%18x%0y[Top Five Raid Counts],[Top Five Raid Counts],
182,7588808,\p\h%18x%0y[Top Five De-Wallacers],[Top Five De-Wallacers],
183,7588848,\p\h%18x%0y[Top Five Village Boss Hunters],[Top Five Village Boss Hunters],
184,7588896,\p\h%18x%0y[Top Five Small Fry Hunters],[Top Five Small Fry Hunters],
185,7588936,\p\h%18x%0y[Bottom Five Pitiful Deaths],[Bottom Five Pitiful Deaths],
186,7588976,\p\h%18x%0y[Top Five Cold Hard Killers],[Top Five Cold Hard Killers],
187,7589016,\p\h%18x%0y[Bottom Five Negative Asset Amounts],[Bottom Five Negative Asset Amounts],
188,7589064,\p\h%18x%0y[Top Five Total Asset Amounts],[Top Five Total Asset Amounts],
189,7589112,\p\h%18x%0y[Bottom Five Last-Place Loss Counts],[Bottom Five Last-Place Loss Counts],
190,7589160,\p\h%18x%0y[Top Five First-Place Win Counts],[Top Five First-Place Win Counts],
191,7589208,\p\h%0x%0y%s%0c > Other\m%14x%d/2,[TEXT] > Other[NUM]/2,
192,7589248,\p\h%0x%0y%s%0c > Treasure,[TEXT] > Treasure,
193,7589280,\p\h%0x%0y%s%0c > Crime\m%14x%d/6,[TEXT] > Crime[NUM]/6,
195,7589324,\pday(s),day(s),
197,7589340,\pLv.,Lv.,
199,7589356,\ppiece(s),piece(s),
201,7589372,\phead(s),head(s),
203,7589388,\pperson(s),person(s),
205,7589404,\pG,G,
207,7589412,\px,x,
209,7589426,\p%s\m%3c%26x%2d,[TEXT][NUM],
211,7589458,"\p%s\m%1c%18x\,%12d","[TEXT],[NUM]",
213,7589490,"\p%s\m%18x\,%12d","[TEXT],[NUM]",
215,7589522,"\p%s\m%19x\,%11d","[TEXT],[NUM]",
216,7589544,\p\h%18x%0y[Five Smallest Turn-Count Map Clears],[Five Smallest Turn-Count Map Clears],
217,7589600,\p\h%18x%0y[Five Lowest-Level Map Clears],[Five Lowest-Level Map Clears],
218,7589648,\p\h%18x%0y[Top Five Treasure Hunters],[Top Five Treasure Hunters],
219,7589688,\p\h%18x%0y[Top Five Bounty Amounts],[Top Five Bounty Amounts],
220,7589728,\p\h%18x%0y[Top Five Plundered Amounts],[Top Five Plundered Amounts],
221,7589768,\p\hName,Name,
222,7589784,\p\hPlayers,Players,
223,7589800,\p\hMode,Mode,
224,7589816,\p\h%2xLocal,Local,
225,7589832,\p\h%2xOnline,Online,
226,7589848,\p\h%4d.%2d,[NUM].[NUM],
227,7589864,\p\h%2d,[NUM],
228,7589872,\p\r\hChannel /\nSTART\nSec,Channel / START Sec,
230,7589920,\p\h%8x%2y / Seq: %2d,/ Seq: [NUM],
231,7589944,\p\h%2x%2yVGain: %2d,VGain: [NUM],
232,7589968,\p\h%10x%0yBox: %2d,Box: [NUM],
233,7589992,\p\h\rBGM,BGM,
234,7590008,\p\h\rBattle SFX,Battle SFX,
235,7590032,\p\h\rField SFX,Field SFX,
236,7590048,\p\h\rCHAPTER %2d,CHAPTER [NUM],
237,7590090,\pPage,Page,
238,7590104,\p%2x%0y\h Reset,Reset,
239,7590128,\p%2x%0y\hSecret,Secret,
240,7590152,\p\h%2x%0yAdvantage,Advantage,
241,7590176,\pAdvantage Effect:\n・Initial status value set to 10\n・Reaper will not come when you die\n・Level-up bonus +1,Advantage Effect: ・Initial status value set to 10 ・Reaper will not come when you die ・Level-up bonus +1,
242,7590296,\pRecommended for first-time players! \nAccept advantage?,Recommended for first-time players! Accept advantage?,
243,7590360,\pSettings,Settings,
244,7590376,\pCredits,Credits,
245,7590392,\p%2x%0yBack,Back,
246,7590408,\p\hRecruit,Recruit,
247,7590424,\p\hComplete,Complete,
248,7590440,\p\hCharacter,Character,
249,7590456,\p\hOrder,Order,
250,7590474,\pWeek %d,Week [NUM],
251,7590490,\p(none),(none),
252,7590552,\p\hStart with treasure?\m          No       Yes,Start with treasure? No Yes,
253,7590608,\pWeek Limit:,Week Limit:,
254,7590624,\pDark Aura gained:%20xA lot%26xSome%32xA bit,Dark Aura gained:A lotSomeA bit,
255,7590672,\pLevel Up bonus:%21x\m4%27x5%33x6,Level Up bonus:456,
256,7590712,\pOffensive magic limit:%21x\m\h   On     ∞,Offensive magic limit: On ∞,
257,7590760,\pMeet at Tenkaichi Tournament:%21x\m\h   Yes    No,Meet at Tenkaichi Tournament: Yes No,
258,7590816,\pStandard alliance duration:%20xLong%26xShort%32xNone,Standard alliance duration:LongShortNone,
259,7590872,\pReq. Wallace takedowns:\m\h%16x    Hi    Med   Low,Req. Wallace takedowns: Hi Med Low,
260,7590928,\pReaper appearance％:\m\h%16x    Hi    Med   Low,Reaper appearance％: Hi Med Low,
261,7590984,\pWallace interference％:\m\h%16x    Hi    Med   Low,Wallace interference％: Hi Med Low,
262,7591040,\pWeekly event occurrence％:\m\h%16x    Hi    Med   Low,Weekly event occurrence％: Hi Med Low,
263,7591104,\pMap event occurrence％:\m\h%16x    Hi    Med   Low,Map event occurrence％: Hi Med Low,
264,7591168,\p\rCannot change Secret Ingredient\nwhen resuming a previous game.,Cannot change Secret Ingredient when resuming a previous game.,
265,7591240,\p\rOnly the group's creator\ncan make changes.,Only the group's creator can make changes.,
266,7591288,\p\rSettings have been changed!\nKeep these changes?,Settings have been changed! Keep these changes?,
267,7591344,\p\rWhether or not to carry over treasure\nstatus from players' personal data.\n(Starts with one treasure each.),Whether or not to carry over treasure status from players' personal data. (Starts with one treasure each.),
268,7591464,\p\rGroup created!\nPlease wait for all members to gather!,Group created! Please wait for all members to gather!,
269,7591528,\p%2xSecret,Secret,
270,7591540,\pTown,Town,
271,7591552,"\p\rAt the end of the set week, the\ngame ends, even if it's mid-scenario.\n(Can be adjusted during play.)","At the end of the set week, the game ends, even if it's mid-scenario. (Can be adjusted during play.)",
272,7591664,\p\rAmount of Dark Aura gained\neach turn while in Darkling form.,Amount of Dark Aura gained each turn while in Darkling form.,
273,7591736,\p\rCreating this group...,Creating this group...,
274,7591768,\p%2xAdvantage,Advantage,
275,7591784,\p%2x%0yDisband,Disband,
276,7591800,\p\rPassword is incorrect.\nTry again?,Password is incorrect. Try again?,
277,7591840,\p\rHow many points are awarded\nfor allocation upon leveling up.,How many points are awarded for allocation upon leveling up.,
278,7591912,\p%2xStart,Start,
279,7591928,\pRecruit (password-protected),Recruit (password-protected),
280,7591960,\p%4xRecruiting...,Recruiting...,
281,7591984,"\p\rWhether or not offensive magic has\nlimited uses. When set to ∞, number\nof uses will not be decremented.","Whether or not offensive magic has limited uses. When set to ∞, number of uses will not be decremented.",
282,7592096,\p\rWhether or not the player starts\nfrom the Arena after the Tenkaichi\nTournament event concludes.,Whether or not the player starts from the Arena after the Tenkaichi Tournament event concludes.,
283,7592200,\pSet Password,Set Password,
284,7592216,\p%4x%d,[NUM],
285,7592224,\p\rLength of time until an alliance\nformed during an event naturally ends.\n(No alliance forms when set to none.),Length of time until an alliance formed during an event naturally ends. (No alliance forms when set to none.),
286,7592340,\pHeal,Heal,
287,7592352,\p\rNumber of times Wallace must be\ndefeated to progress the scenario.,Number of times Wallace must be defeated to progress the scenario.,
288,7592424,\pWeek Limit: %d %13xAdvantage: Yes,Week Limit: [NUM] Advantage: Yes,
289,7592464,\p\rProbability that the Reaper will come\nto get you after a normal death.\n(Does not come if advantage is set.),Probability that the Reaper will come to get you after a normal death. (Does not come if advantage is set.),
290,7592584,\p%4xReady!\n,Ready!,
291,7592600,\pWeek Limit: %d %13xAdvantage: No,Week Limit: [NUM] Advantage: No,
292,7592640,\p\rProbability that Wallace will do\nsomething to hinder the player.,Probability that Wallace will do something to hinder the player.,
293,7592712,\pWeek Limit: None %13xAdvantage: Yes,Week Limit: None Advantage: Yes,
294,7592752,\p\rProbability that an event will occur\nat the start of each Monday.,Probability that an event will occur at the start of each Monday.,
295,7592824,\pWeek Limit: None %13xAdvantage: No,Week Limit: None Advantage: No,
296,7592864,\p\rProbability that an event will occur\nwhen landing on an empty space.,Probability that an event will occur when landing on an empty space.,
297,7592944,"\p%3cChange various game settings.\nThe farther right these are adjusted,\nthe quicker things will progress.%0c\k","Change various game settings. The farther right these are adjusted, the quicker things will progress.",
298,7593064,\p%4xSetting things up...\n,Setting things up...,
299,7593092,\pOpen,Open,
300,7593104,"\p\rRecruit without any special settings\nso anyone is welcome to join.\nCome one, come all!","Recruit without any special settings so anyone is welcome to join. Come one, come all!",
301,7593200,"\p\rSet a password, and limit joining\nto only those players in the know.\nIt'll be your little secret!","Set a password, and limit joining to only those players in the know. It'll be your little secret!",
302,7593304,\p\hPassword: %s,Password: [TEXT],
303,7593328,\p\rCreate a group limited to friends only\nand start recruiting!,Create a group limited to friends only and start recruiting!,
304,7593400,"\pStart a game with yourself,\nand two additional recruits.","Start a game with yourself, and two additional recruits.",
305,7593460,\pMove,Move,
306,7593472,\p\rGet your recruitment plan in order!\nLimit your group to friends only.\k,Get your recruitment plan in order! Limit your group to friends only.,
307,7593552,"\p\rGet your recruitment plan in order!\nLimit your group to friends only\nor set a password, as desired.\k","Get your recruitment plan in order! Limit your group to friends only or set a password, as desired.",
308,7593664,\pRecruit,Recruit,
309,7593680,\pRecruit (friends-only),Recruit (friends-only),
310,7593712,"\p\rDuring character selection, advantage\ncan be set for each player as desired.","During character selection, advantage can be set for each player as desired.",
311,7593800,\p%4x\h%s,[TEXT],
313,7593832,\pAdjust the play order as desired.\nPress the %517M,Adjust the play order as desired. Press the [BTN],
314,7593888,"\p\rThe gang's all here!\nWhenever you're ready to proceed,\nplease press the %528M.","The gang's all here! Whenever you're ready to proceed, please press the [BTN].",
316,7593992,\p\rPlay Count: %dx\nFirst Place: %dx\nLast Place: %dx,Play Count: [NUM]x First Place: [NUM]x Last Place: [NUM]x,
317,7594048,"\p\rThe gang's all here!\nWhenever you're ready to proceed,\nplease press the %527M.","The gang's all here! Whenever you're ready to proceed, please press the [BTN].",
319,7594152,\p\rUnused file.,Unused file.,
320,7594176,\p\rNow recruiting members.\nPlease wait for all members to gather!,Now recruiting members. Please wait for all members to gather!,
321,7594244,\pRust,Rust,
322,7594256,\p\rThis is a password-gated group.\nPlease wait for all members to gather!,This is a password-gated group. Please wait for all members to gather!,
323,7594336,\p\rWaiting for friends to join.\nPlease wait for all members to gather!,Waiting for friends to join. Please wait for all members to gather!,
324,7594416,"\pStart a game with yourself,\ntwo guest players,\nand one additional recruit.","Start a game with yourself, two guest players, and one additional recruit.",
325,7594496,"\pStart a game with yourself,\none guest player,\nand one additional recruit.","Start a game with yourself, one guest player, and one additional recruit.",
326,7594576,"\pStart a game with yourself,\ntwo computer AI players,\nand one additional recruit.","Start a game with yourself, two computer AI players, and one additional recruit.",
328,7594680,\pPlay with this\nmember layout?,Play with this member layout?,
329,7594720,"\pStart a game with yourself,\none computer AI player,\nand one additional recruit.","Start a game with yourself, one computer AI player, and one additional recruit.",
334,7594872,\pPlease select the number of players.\k,Please select the number of players.,
335,7594920,\p\rSelect a file to delete.,Select a file to delete.,
336,7594952,\pNew Recruit(s),New Recruit(s),
337,7594976,\p\r%3cFour human players.%0c\n(You can change from human to AI\nor from AI to human mid-game.),Four human players. (You can change from human to AI or from AI to human mid-game.),
338,7595072,\p\r%3cThree humans vs. one computer AI.%0c\n(You can change from human to AI\nor from AI to human mid-game.),Three humans vs. one computer AI. (You can change from human to AI or from AI to human mid-game.),
339,7595184,\pAdjust your control scheme as desired.\n%532M%531M: Select\n%517M: Confirm,Adjust your control scheme as desired. [BTN][BTN]: Select [BTN]: Confirm,
340,7595264,\p\rNewly recruited player.,Newly recruited player.,
341,7595296,\p\h%2xCancel%8x Change Name,Cancel Change Name,
342,7595328,\p\h%2xParticipate%11x Change Name,Participate Change Name,
343,7595368,\p\h%2xEnter Name > Participate,Enter Name > Participate,
344,7595400,\pPlease select participating player(s).\k,Please select participating player(s).,
345,7595448,\pDamage Message\k,Damage Message,
346,7595472,"\pStart a game with yourself,\nand three additional recruits.","Start a game with yourself, and three additional recruits.",
347,7595536,"\pStart a game with yourself,\none guest player,\nand two additional recruits.","Start a game with yourself, one guest player, and two additional recruits.",
348,7595616,"\pStart a game with yourself,\none computer AI player,\nand two additional recruits.","Start a game with yourself, one computer AI player, and two additional recruits.",
349,7595704,\pCPU%d is selecting...,CPU[NUM] is selecting...,
350,7595728,"\p\r\hA %10ccool customer%9c who gives\nfull attention to every situation,\nproving that the most disciplined\nare the most formidable.","A cool customer who gives full attention to every situation, proving that the most disciplined are the most formidable.",
351,7595864,\p%3cSaving%0c management data.\n,Saving management data.,
